Type,Image ID,Correct QA,Total QA,Accuracy
Horizontal,16207,17,19,89.4737
Horizontal,15849,16,19,84.2105
Horizontal,16003,16,19,84.2105
Horizontal,16248,16,19,84.2105
Horizontal,16273,16,19,84.2105
Horizontal,15054,18,22,81.8182
Horizontal,15713,18,22,81.8182
Horizontal,15490,16,20,80.0
Horizontal,15231,15,19,78.9474
Horizontal,15397,15,19,78.9474
Horizontal,16101,15,19,78.9474
Horizontal,16012,15,19,78.9474
Horizontal,15922,15,19,78.9474
Horizontal,16258,18,23,78.2609
Horizontal,15621,18,23,78.2609
Horizontal,15595,18,23,78.2609
Horizontal,14989,18,23,78.2609
Horizontal,15111,17,22,77.2727
Horizontal,15066,17,22,77.2727
Horizontal,15212,17,22,77.2727
Horizontal,15326,17,22,77.2727
Horizontal,14983,17,23,73.913
Horizontal,15126,17,23,73.913
Horizontal,16674,17,23,73.913
Horizontal,16154,17,23,73.913
Horizontal,15296,17,23,73.913
Horizontal,16051,17,23,73.913
Horizontal,15106,17,23,73.913
Horizontal,15717,17,23,73.913
Horizontal,16192,17,23,73.913
Horizontal,16670,17,23,73.913
Horizontal,15786,17,23,73.913
Horizontal,15631,17,23,73.913
Horizontal,16243,14,19,73.6842
Horizontal,15478,14,19,73.6842
Horizontal,15869,14,19,73.6842
Horizontal,16792,14,19,73.6842
Horizontal,15532,14,19,73.6842
Horizontal,16814,16,22,72.7273
Horizontal,15535,16,22,72.7273
Horizontal,16266,16,22,72.7273
Horizontal,16122,16,22,72.7273
Horizontal,15075,16,22,72.7273
Horizontal,6645,17,24,70.8333
Horizontal,15185,14,20,70.0
Horizontal,16330,16,23,69.5652
Horizontal,16214,16,23,69.5652
Horizontal,15369,16,23,69.5652
Horizontal,15508,16,23,69.5652
Horizontal,15468,16,23,69.5652
Horizontal,15575,16,23,69.5652
Horizontal,16710,16,23,69.5652
Horizontal,15771,16,23,69.5652
Horizontal,16483,16,23,69.5652
Horizontal,16783,16,23,69.5652
Horizontal,15909,16,23,69.5652
Horizontal,16147,16,23,69.5652
Horizontal,16360,16,23,69.5652
Horizontal,15611,16,23,69.5652
Horizontal,15100,16,23,69.5652
Horizontal,16433,16,23,69.5652
Horizontal,15132,16,23,69.5652
Horizontal,16662,16,23,69.5652
Horizontal,16818,13,19,68.4211
Horizontal,16647,13,19,68.4211
Horizontal,15064,13,19,68.4211
Horizontal,15362,15,22,68.1818
Horizontal,16131,15,22,68.1818
Horizontal,16227,15,22,68.1818
Horizontal,16234,15,22,68.1818
Horizontal,15230,15,22,68.1818
Horizontal,15735,15,22,68.1818
Horizontal,15475,15,22,68.1818
Horizontal,15311,15,22,68.1818
Horizontal,16163,15,22,68.1818
Horizontal,16851,15,22,68.1818
Horizontal,15125,15,22,68.1818
Horizontal,15244,15,22,68.1818
Horizontal,15814,15,22,68.1818
Horizontal,15949,15,22,68.1818
Horizontal,16268,15,22,68.1818
Horizontal,15122,15,22,68.1818
Horizontal,16638,15,22,68.1818
Horizontal,16817,15,22,68.1818
Horizontal,7261,17,25,68.0
Horizontal,15598,16,24,66.6667
Horizontal,12182,20,30,66.6667
Horizontal,9765,8,12,66.6667
Horizontal,13271,12,18,66.6667
Horizontal,15983,12,18,66.6667
Horizontal,11689,19,29,65.5172
Horizontal,15890,15,23,65.2174
Horizontal,16634,15,23,65.2174
Horizontal,15752,15,23,65.2174
Horizontal,15164,15,23,65.2174
Horizontal,15708,15,23,65.2174
Horizontal,15664,15,23,65.2174
Horizontal,15876,15,23,65.2174
Horizontal,16153,15,23,65.2174
Horizontal,15194,15,23,65.2174
Horizontal,15704,15,23,65.2174
Horizontal,15639,15,23,65.2174
Horizontal,16108,15,23,65.2174
Horizontal,15371,15,23,65.2174
Horizontal,16040,15,23,65.2174
Horizontal,14981,15,23,65.2174
Horizontal,15762,15,23,65.2174
Horizontal,16431,15,23,65.2174
Horizontal,16099,15,23,65.2174
Horizontal,16354,15,23,65.2174
Horizontal,16357,15,23,65.2174
Horizontal,16768,15,23,65.2174
Horizontal,15738,15,23,65.2174
Horizontal,15084,15,23,65.2174
Horizontal,16702,15,23,65.2174
Horizontal,16062,15,23,65.2174
Horizontal,15181,15,23,65.2174
Horizontal,16548,15,23,65.2174
Horizontal,15588,15,23,65.2174
Horizontal,6642,18,28,64.2857
Horizontal,15026,14,22,63.6364
Horizontal,16542,14,22,63.6364
Horizontal,15917,14,22,63.6364
Horizontal,15368,14,22,63.6364
Horizontal,15467,14,22,63.6364
Horizontal,15151,14,22,63.6364
Horizontal,16409,14,22,63.6364
Horizontal,15402,14,22,63.6364
Horizontal,15784,14,22,63.6364
Horizontal,16056,14,22,63.6364
Horizontal,13983,19,30,63.3333
Horizontal,15169,12,19,63.1579
Horizontal,15720,12,19,63.1579
Horizontal,16837,12,19,63.1579
Horizontal,6886,17,27,62.963
Horizontal,6526,17,27,62.963
Horizontal,6803,17,27,62.963
Horizontal,7445,15,24,62.5
Horizontal,9165,10,16,62.5
Horizontal,15011,15,24,62.5
Horizontal,15659,15,24,62.5
Horizontal,7207,10,16,62.5
Horizontal,16381,15,24,62.5
Horizontal,14311,18,29,62.068999999999996
Horizontal,13013,11,18,61.1111
Horizontal,15955,14,23,60.8696
Horizontal,16070,14,23,60.8696
Horizontal,16152,14,23,60.8696
Horizontal,15176,14,23,60.8696
Horizontal,15241,14,23,60.8696
Horizontal,15885,14,23,60.8696
Horizontal,15281,14,23,60.8696
Horizontal,15071,14,23,60.8696
Horizontal,16526,14,23,60.8696
Horizontal,15042,14,23,60.8696
Horizontal,15302,14,23,60.8696
Horizontal,15967,14,23,60.8696
Horizontal,16156,14,23,60.8696
Horizontal,15668,14,23,60.8696
